,Base,Target,Look Back,Reg,%,DTR,RFR,SVR,None,Time,Results
0,Agricultura,Agricultura,1,48,0.651854995617,0.272727272727,0.0454545454545,0.590909090909,0.0909090909091,195.558000088,"[[0.6613024787427311 'RFR' '12.8239998817']
 [0.6697249709640156 'RFR' '3.70799994469']
 [0.5028661630520078 'DTR' '0.0309998989105']
 [0.9455695400833678 'DTR' '0.144999980927']
 [0.8405866477233543 'RFR' '4.14499998093']
 [0.0 'NONE' '0.115999937057']
 [0.0 'NONE' '0.0989999771118']
 [0.3661977275857072 'DTR' '0.0379998683929']
 [0.24631190898274263 'SVR' '0.0950000286102']
 [0.2799479139193547 'RFR' '4.57699990273']
 [0.0 'SVR' '0.074000120163']
 [0.8443092330817972 'RFR' '3.26099991798']
 [0.7277729245075502 'RFR' '3.32500004768']
 [0.8109806791871985 'DTR' '0.0739998817444']
 [0.9019119120598645 'RFR' '3.34400010109']
 [0.830860544820721 'RFR' '3.28200006485']
 [0.0 'RFR' '3.27999997139']
 [0.9767843043620432 'DTR' '0.0759999752045']
 [0.9779757116119658 'DTR' '0.0920000076294']
 [0.7863233944751846 'RFR' '3.61599993706']
 [0.0 'SVR' '0.0889999866486']
 [0.46839155882020356 'DTR' '0.0749998092651']
 [0.5249844843952729 'DTR' '0.069000005722']
 [0.6524044224718027 'RFR' '3.32100009918']
 [0.864539986800372 'RFR' '3.38700008392']
 [0.8442075847408275 'RFR' '3.74499988556']
 [0.870739998568961 'SVR' '0.151000022888']
 [0.3096894189226457 'DTR' '0.0490000247955']
 [0.6881286126806995 'RFR' '3.37199997902']
 [0.7233444862345715 'RFR' '3.29100012779']
 [0.9389220721463986 'RFR' '3.38499999046']
 [0.4538516490599728 'RFR' '3.82699990273']
 [0.9091958398942355 'RFR' '3.65700006485']
 [0.9514208721424225 'RFR' '3.76099991798']
 [0.6913008817069904 'DTR' '0.0950000286102']
 [0.8245605114744914 'RFR' '4.89499998093']
 [0.6568203584309756 'RFR' '3.38000011444']
 [0.8783038361189248 'RFR' '3.54399991035']
 [0.634470495442595 'DTR' '0.0950000286102']
 [0.8974170127226291 'RFR' '3.32299995422']
 [0.9159157106480935 'RFR' '3.33400011063']
 [0.934222073485382 'RFR' '3.2009999752']
 [0.8010069017242498 'RFR' '3.25300002098']
 [0.8783549833639916 'DTR' '0.0600001811981']]"
1,Agricultura,Agricultura,2,48,0.633671853348,0.227272727273,0.0454545454545,0.590909090909,0.136363636364,155.743000031,"[[0.5921996475576853 'RFR' '3.37800002098']
 [0.6735937517121995 'RFR' '3.33500003815']
 [0.5270403852199381 'SVR' '0.0680000782013']
 [0.9552896871476234 'DTR' '0.0839998722076']
 [0.697853806599608 'RFR' '3.27400016785']
 [0.0 'NONE' '0.069000005722']
 [0.0 'NONE' '0.0629999637604']
 [0.4341569994477202 'DTR' '0.0789999961853']
 [0.0 'SVR' '0.110000133514']
 [0.26643602356325324 'DTR' '0.0609998703003']
 [0.1748544202164469 'SVR' '0.203000068665']
 [0.7960636094762819 'RFR' '3.35299992561']
 [0.6569971277749487 'RFR' '3.46300005913']
 [0.6487582495999102 'SVR' '0.168999910355']
 [0.8291727289703654 'DTR' '0.0940001010895']
 [0.7358486197739081 'DTR' '0.0950000286102']
 [0.0 'SVR' '0.0789999961853']
 [0.9552447315713757 'RFR' '3.16700005531']
 [0.9622294645225811 'RFR' '3.4880001545']
 [0.5519343860053533 'RFR' '3.47500014305']
 [0.0 'RFR' '3.30099987984']
 [0.4708395119389136 'RFR' '3.41499996185']
 [0.6324035624416339 'RFR' '3.42000007629']
 [0.5945501276793917 'RFR' '3.39899992943']
 [0.8555339812691273 'RFR' '3.34399986267']
 [0.720287895802244 'RFR' '3.22499990463']
 [0.8595880552310632 'SVR' '0.105000019073']
 [0.6812445136834457 'DTR' '0.0429999828339']
 [0.5344656453623111 'RFR' '3.37999987602']
 [0.7167211448424263 'RFR' '3.11899995804']
 [0.93703444660717 'RFR' '3.22099995613']
 [0.791891632565425 'DTR' '0.0940001010895']
 [0.9408764199023818 'RFR' '3.43499994278']
 [0.9224590125244114 'DTR' '0.0950000286102']
 [0.6295572985604468 'RFR' '3.52999997139']
 [0.72459275014299 'DTR' '0.0780000686646']
 [0.5859187551004605 'RFR' '3.47399997711']
 [0.9091054884600769 'DTR' '0.0940001010895']
 [0.7067776286571537 'RFR' '3.31100010872']
 [0.9327611694397653 'RFR' '3.34999990463']
 [0.8667601778780897 'RFR' '3.33600020409']
 [0.9544163198543891 'RFR' '3.14299988747']
 [0.7853128899181976 'RFR' '3.60199999809']
 [0.6707894802971278 'RFR' '3.45000004768']]"
2,Agricultura,Agricultura,3,48,0.657639363141,0.227272727273,0.0454545454545,0.590909090909,0.136363636364,159.585000038,"[[0.606777651429649 'RFR' '3.29600000381']
 [0.5767223345521997 'SVR' '0.0849997997284']
 [0.5577589237150687 'RFR' '3.30800008774']
 [0.8930096348459875 'RFR' '3.08399987221']
 [0.8084645481936328 'RFR' '3.12599992752']
 [0.0 'NONE' '0.0529999732971']
 [0.0 'NONE' '0.0520000457764']
 [0.3180995736103253 'RFR' '3.23199987411']
 [0.17450744146382755 'SVR' '0.0910000801086']
 [0.4403530300097013 'RFR' '3.46000003815']
 [0.0 'SVR' '0.0859999656677']
 [0.7787757175085015 'DTR' '0.138000011444']
 [0.7238805000810319 'RFR' '3.67999982834']
 [0.641772996113491 'SVR' '0.244000196457']
 [0.9039288083111987 'RFR' '3.27100014687']
 [0.6070384161440749 'RFR' '3.06900000572']
 [0.0 'DTR' '0.0319998264313']
 [0.9653060112338858 'RFR' '3.04099988937']
 [0.9574137687708492 'DTR' '0.162000179291']
 [0.705172233738962 'RFR' '3.53200006485']
 [0.05607990470296113 'RFR' '3.68099999428']
 [0.771195120017338 'RFR' '3.50999999046']
 [0.8377061851720669 'DTR' '0.125']
 [0.6395443815228828 'RFR' '3.39299988747']
 [0.8352008663499069 'SVR' '0.177000045776']
 [0.7433213915450668 'DTR' '0.0799999237061']
 [0.840439061637418 'RFR' '3.47100019455']
 [0.8879277166987741 'DTR' '0.0789999961853']
 [0.5153077188035223 'SVR' '0.167999982834']
 [0.6881742636620362 'RFR' '3.52500009537']
 [0.9384691898913561 'RFR' '3.3679997921']
 [0.6443109628201498 'DTR' '0.184000015259']
 [0.8937393741637181 'DTR' '0.108999967575']
 [0.9259584639655101 'RFR' '3.32899999619']
 [0.7363542300041263 'RFR' '3.55099987984']
 [0.7695722791584284 'DTR' '0.119000196457']
 [0.6644628517525509 'RFR' '3.48699998856']
 [0.9116741803813395 'RFR' '3.42199993134']
 [0.6080258988508672 'RFR' '3.382999897']
 [0.9308499199130098 'RFR' '3.43400001526']
 [0.8845901542941327 'RFR' '3.6210000515']
 [0.9257037031628652 'DTR' '0.0429999828339']
 [0.8525456335451695 'RFR' '3.48300004005']
 [0.7759969364703649 'RFR' '3.48300004005']]"
3,Agricultura,Ambiente,1,96,0.563208078508,0.186666666667,0.0,0.56,0.253333333333,259.879999876,"[[0.4352856064748688 'RFR' '3.41599988937']
 [0.670994240335588 'DTR' '0.0710000991821']
 [0.5188905391159033 'SVR' '0.19100022316']
 [0.8394020505678847 'DTR' '0.0409998893738']
 [0.4232181548724577 'RFR' '3.43899989128']
 [0.0 'SVR' '0.0620000362396']
 [0.8163037258487407 'RFR' '3.73799991608']
 [0.9333582141910846 'RFR' '3.67600011826']
 [0.8753074729765393 'RFR' '3.51600003242']
 [0.7693078276864435 'RFR' '3.59800004959']
 [0.7774149938041287 'DTR' '0.0620000362396']
 [0.741544367729729 'RFR' '3.28399991989']
 [0.8411301506748696 'RFR' '3.29399991035']
 [0.767127128510703 'RFR' '3.40799999237']
 [0.7430371687241276 'RFR' '3.51600003242']
 [0.773176599174852 'RFR' '3.41599988937']
 [0.7169488887540586 'RFR' '3.50900006294']
 [0.7692271301887481 'RFR' '3.23000001907']
 [0.8157871526851224 'DTR' '0.0520000457764']
 [0.7451954097410015 'RFR' '3.24399995804']
 [0.6446482153370032 'RFR' '3.19400000572']
 [0.0 'SVR' '0.0659999847412']
 [0.0 'SVR' '0.0999999046326']
 [0.0 'SVR' '0.055999994278']
 [0.0 'SVR' '0.0520000457764']
 [0.0 'SVR' '0.0780000686646']
 [0.06249267070118179 'SVR' '0.0769999027252']
 [0.7800194005427661 'DTR' '0.0750000476837']
 [0.7255608372312845 'RFR' '3.33000016212']
 [0.8297447849859175 'DTR' '0.055999994278']
 [0.9662043403665759 'DTR' '0.0699999332428']
 [0.959760651277007 'DTR' '0.069000005722']
 [0.6606692221808619 'RFR' '3.21099996567']
 [0.9765921246457312 'DTR' '0.069000005722']
 [0.8643234768091768 'RFR' '3.61000013351']
 [0.8895644387710968 'RFR' '3.54800009727']
 [0.49572108890020844 'RFR' '3.56599998474']
 [0.8611267644969363 'RFR' '3.57800006866']
 [0.8052435799512543 'RFR' '3.48799991608']
 [0.8297654935158689 'RFR' '3.40100002289']
 [0.6495409348232475 'RFR' '3.33799982071']
 [0.4752365152424762 'DTR' '0.0439999103546']
 [0.6978235613355187 'RFR' '3.2460000515']
 [0.7436476872225861 'RFR' '3.19099998474']
 [0.0 'SVR' '0.0840001106262']
 [0.0 'RFR' '3.41299986839']
 [0.0 'SVR' '0.0620000362396']
 [0.8388231884910123 'RFR' '3.1970000267']
 [0.6984504174131915 'SVR' '0.0920000076294']
 [0.7062051697897213 'DTR' '0.0480000972748']
 [0.9728661994574178 'RFR' '3.257999897']
 [0.40614159314644266 'RFR' '3.45799994469']
 [0.7113538967490451 'DTR' '0.0629999637604']
 [0.0 'SVR' '0.0649998188019']
 [0.7318840113574433 'RFR' '3.20999979973']
 [0.32897180935270737 'SVR' '0.0640001296997']
 [0.4992001457987677 'RFR' '3.38800001144']
 [0.7793291396258138 'RFR' '3.5039999485']
 [0.6090598076518963 'DTR' '0.0469999313354']
 [0.0 'SVR' '0.0620000362396']
 [0.02913156719020087 'DTR' '0.0320000648499']
 [0.6779755413044818 'RFR' '3.25500011444']
 [0.28400412617982757 'SVR' '0.058000087738']
 [0.0 'SVR' '0.063000202179']
 [0.6607026518895724 'RFR' '3.41199994087']
 [0.7692929047854491 'RFR' '3.41299986839']
 [0.8207731590793239 'RFR' '3.56500005722']
 [0.9386806763150274 'RFR' '3.59999990463']
 [0.0 'SVR' '0.0629999637604']
 [0.0 'RFR' '3.43300008774']
 [0.3755302923051433 'SVR' '0.0629999637604']
 [0.8246905527716308 'RFR' '3.42300009727']
 [0.8589119473308775 'RFR' '3.46499991417']
 [0.8282844796991377 'RFR' '3.43300008774']
 [0.0 'SVR' '0.0620000362396']]"
